Created as New Dataset,
nm,%R
1500.0,100.50
1499.0,100.50
1498.0,100.51
1497.0,100.51
1496.0,100.50
1495.0,100.48
1494.0,100.48
1493.0,100.49
1492.0,100.49
1491.0,100.48
1490.0,100.48
1489.0,100.47
1488.0,100.49
1487.0,100.49
1486.0,100.48
1485.0,100.50
1484.0,100.48
1483.0,100.46
1482.0,100.45
1481.0,100.47
1480.0,100.46
1479.0,100.45
1478.0,100.46
1477.0,100.47
1476.0,100.46
1475.0,100.46
1474.0,100.46
1473.0,100.44
1472.0,100.42
1471.0,100.43
1470.0,100.44
1469.0,100.44
1468.0,100.42
1467.0,100.42
1466.0,100.41
1465.0,100.42
1464.0,100.41
1463.0,100.42
1462.0,100.40
1461.0,100.40
1460.0,100.40
1459.0,100.39
1458.0,100.40
1457.0,100.40
1456.0,100.39
1455.0,100.39
1454.0,100.39
1453.0,100.39
1452.0,100.39
1451.0,100.41
1450.0,100.40
1449.0,100.38
1448.0,100.37
1447.0,100.40
1446.0,100.39
1445.0,100.38
1444.0,100.39
1443.0,100.40
1442.0,100.38
1441.0,100.38
1440.0,100.39
1439.0,100.40
1438.0,100.38
1437.0,100.39
1436.0,100.39
1435.0,100.40
1434.0,100.40
1433.0,100.40
1432.0,100.40
1431.0,100.39
1430.0,100.39
1429.0,100.41
1428.0,100.40
1427.0,100.40
1426.0,100.39
1425.0,100.39
1424.0,100.40
1423.0,100.39
1422.0,100.40
1421.0,100.41
1420.0,100.40
1419.0,100.40
1418.0,100.40
1417.0,100.40
1416.0,100.40
1415.0,100.40
1414.0,100.40
1413.0,100.40
1412.0,100.41
1411.0,100.40
1410.0,100.40
1409.0,100.41
1408.0,100.41
1407.0,100.42
1406.0,100.41
1405.0,100.40
1404.0,100.40
1403.0,100.41
1402.0,100.43
1401.0,100.43
1400.0,100.43
1399.0,100.43
1398.0,100.43
1397.0,100.43
1396.0,100.42
1395.0,100.42
1394.0,100.44
1393.0,100.44
1392.0,100.45
1391.0,100.46
1390.0,100.47
1389.0,100.48
1388.0,100.48
1387.0,100.49
1386.0,100.48
1385.0,100.48
1384.0,100.50
1383.0,100.50
1382.0,100.49
1381.0,100.48
1380.0,100.49
1379.0,100.50
1378.0,100.52
1377.0,100.54
1376.0,100.55
1375.0,100.54
1374.0,100.54
1373.0,100.56
1372.0,100.57
1371.0,100.59
1370.0,100.59
1369.0,100.59
1368.0,100.58
1367.0,100.58
1366.0,100.60
1365.0,100.59
1364.0,100.60
1363.0,100.60
1362.0,100.59
1361.0,100.59
1360.0,100.58
1359.0,100.58
1358.0,100.58
1357.0,100.59
1356.0,100.60
1355.0,100.59
1354.0,100.58
1353.0,100.59
1352.0,100.59
1351.0,100.60
1350.0,100.61
1349.0,100.61
1348.0,100.61
1347.0,100.62
1346.0,100.62
1345.0,100.63
1344.0,100.63
1343.0,100.63
1342.0,100.63
1341.0,100.63
1340.0,100.63
1339.0,100.64
1338.0,100.65
1337.0,100.65
1336.0,100.65
1335.0,100.64
1334.0,100.64
1333.0,100.65
1332.0,100.65
1331.0,100.66
1330.0,100.66
1329.0,100.66
1328.0,100.67
1327.0,100.68
1326.0,100.68
1325.0,100.68
1324.0,100.70
1323.0,100.70
1322.0,100.70
1321.0,100.69
1320.0,100.70
1319.0,100.70
1318.0,100.69
1317.0,100.69
1316.0,100.70
1315.0,100.68
1314.0,100.68
1313.0,100.68
1312.0,100.68
1311.0,100.68
1310.0,100.69
1309.0,100.69
1308.0,100.68
1307.0,100.68
1306.0,100.68
1305.0,100.69
1304.0,100.69
1303.0,100.68
1302.0,100.68
1301.0,100.68
1300.0,100.67
1299.0,100.67
1298.0,100.68
1297.0,100.68
1296.0,100.67
1295.0,100.68
1294.0,100.68
1293.0,100.68
1292.0,100.68
1291.0,100.68
1290.0,100.68
1289.0,100.69
1288.0,100.70
1287.0,100.69
1286.0,100.68
1285.0,100.68
1284.0,100.68
1283.0,100.68
1282.0,100.69
1281.0,100.68
1280.0,100.67
1279.0,100.68
1278.0,100.67
1277.0,100.67
1276.0,100.67
1275.0,100.67
1274.0,100.67
1273.0,100.67
1272.0,100.68
1271.0,100.67
1270.0,100.66
1269.0,100.64
1268.0,100.65
1267.0,100.65
1266.0,100.65
1265.0,100.65
1264.0,100.64
1263.0,100.64
1262.0,100.63
1261.0,100.63
1260.0,100.64
1259.0,100.63
1258.0,100.63
1257.0,100.63
1256.0,100.63
1255.0,100.63
1254.0,100.64
1253.0,100.62
1252.0,100.62
1251.0,100.62
1250.0,100.63
1249.0,100.63
1248.0,100.63
1247.0,100.64
1246.0,100.65
1245.0,100.64
1244.0,100.63
1243.0,100.64
1242.0,100.63
1241.0,100.64
1240.0,100.64
1239.0,100.64
1238.0,100.64
1237.0,100.63
1236.0,100.64
1235.0,100.63
1234.0,100.62
1233.0,100.62
1232.0,100.62
1231.0,100.63
1230.0,100.62
1229.0,100.62
1228.0,100.60
1227.0,100.59
1226.0,100.61
1225.0,100.58
1224.0,100.59
1223.0,100.59
1222.0,100.60
1221.0,100.57
1220.0,100.58
1219.0,100.58
1218.0,100.58
1217.0,100.57
1216.0,100.58
1215.0,100.59
1214.0,100.58
1213.0,100.58
1212.0,100.60
1211.0,100.56
1210.0,100.59
1209.0,100.58
1208.0,100.58
1207.0,100.57
1206.0,100.58
1205.0,100.58
1204.0,100.56
1203.0,100.58
1202.0,100.59
1201.0,100.58
1200.0,100.58
1199.0,100.56
1198.0,100.58
1197.0,100.59
1196.0,100.58
1195.0,100.57
1194.0,100.56
1193.0,100.56
1192.0,100.56
1191.0,100.57
1190.0,100.56
1189.0,100.54
1188.0,100.55
1187.0,100.56
1186.0,100.54
1185.0,100.54
1184.0,100.53
1183.0,100.55
1182.0,100.54
1181.0,100.54
1180.0,100.55
1179.0,100.53
1178.0,100.54
1177.0,100.53
